country,iso3,dimension,integrator_recommendation,llm_recommendation,final,llm_changed
Vietnam,VNM,D4,47.3,47.0,47,False
Zambia,ZMB,D1,30.19,33.0,33,True
Zambia,ZMB,D2,49.82,50.0,50,False
Zambia,ZMB,D3,42.02,42.0,42,False
Zambia,ZMB,D4,43.85,44.0,44,False
Myanmar (formerly Burma),MMR,D1,35.74,36.0,36,False
Myanmar (formerly Burma),MMR,D2,33.38,33.0,33,False
Myanmar (formerly Burma),MMR,D3,61.86,62.0,62,False
Myanmar (formerly Burma),MMR,D4,37.5,37.0,37,True
Mongolia,MNG,D1,38.12,38.0,38,False
Mongolia,MNG,D2,44.7,45.0,45,False
Mongolia,MNG,D3,54.94,55.0,55,False
Mongolia,MNG,D4,51.11,51.0,51,False
Syria,SYR,D1,28.91,29.0,29,False
Syria,SYR,D2,53.08,53.0,53,False
Syria,SYR,D3,56.07,56.0,56,False
Syria,SYR,D4,44.97,45.0,45,False
Colombia,COL,D1,31.3,44.0,44,True
Colombia,COL,D2,77.41,88.0,88,True
Colombia,COL,D3,50.0,50.0,50,False
Colombia,COL,D4,62.91,72.0,72,True
South Korea,KOR,D1,50.0,50.0,50,False
South Korea,KOR,D2,30.01,36.0,36,True
South Korea,KOR,D3,75.59,64.0,64,True
South Korea,KOR,D4,62.71,76.0,76,True
Turkey,TUR,D1,34.75,35.0,43,False
Turkey,TUR,D2,50.0,50.0,50,False
Turkey,TUR,D3,69.94,70.0,68,False
Turkey,TUR,D4,50.0,50.0,50,False
Argentina,ARG,D1,55.66,60.0,60,True
Argentina,ARG,D2,80.55,85.0,85,True
Argentina,ARG,D3,62.25,71.0,71,True
Argentina,ARG,D4,51.64,52.0,52,False
Australia,AUS,D1,87.25,87.0,87,False
Australia,AUS,D2,69.94,75.0,75,True
Australia,AUS,D3,39.3,36.0,36,True
Australia,AUS,D4,59.09,56.0,56,True
Bolivia,BOL,D1,26.55,27.0,34,False
Bolivia,BOL,D2,55.9,56.0,56,False
Bolivia,BOL,D3,63.59,64.0,64,False
Bolivia,BOL,D4,36.61,37.0,37,False
Brazil,BRA,D1,40.43,40.0,53,False
Brazil,BRA,D2,72.02,75.0,71,True
Brazil,BRA,D3,59.07,64.0,64,True
Brazil,BRA,D4,52.14,54.0,56,True
Canada,CAN,D1,84.9,86.0,86,True
Canada,CAN,D2,72.82,83.0,83,True
Canada,CAN,D3,47.67,44.0,44,True
Canada,CAN,D4,56.78,59.0,59,True
Switzerland,CHE,D1,83.06,88.0,88,True
Switzerland,CHE,D2,49.2,55.0,61,True
Switzerland,CHE,D3,69.38,68.0,63,True
Switzerland,CHE,D4,66.96,67.0,67,False
Chile,CHL,D1,39.89,51.0,51,True
Chile,CHL,D2,61.07,64.0,64,True
Chile,CHL,D3,72.19,72.0,72,False
Chile,CHL,D4,37.87,38.0,38,False
China,CHN,D1,32.2,34.0,34,True
China,CHN,D2,21.3,8.0,8,True
China,CHN,D3,45.95,18.0,18,True
China,CHN,D4,79.8,97.0,97,True
Costa Rica,CRI,D1,30.78,45.0,45,True
Costa Rica,CRI,D2,59.3,59.0,59,False
Costa Rica,CRI,D3,65.42,65.0,65,False
Costa Rica,CRI,D4,32.89,35.0,35,True
Czech Republic,CZE,D1,63.64,67.0,67,True
Czech Republic,CZE,D2,21.78,8.0,8,True
Czech Republic,CZE,D3,62.87,55.0,55,True
Czech Republic,CZE,D4,32.5,15.0,15,True
Germany,DEU,D1,82.79,83.0,92,False
Germany,DEU,D2,49.93,50.0,62,False
Germany,DEU,D3,83.22,82.0,82,True
Germany,DEU,D4,74.67,75.0,78,False
Denmark,DNK,D1,84.42,89.0,89,True
Denmark,DNK,D2,54.84,63.0,63,True
Denmark,DNK,D3,45.79,46.0,46,False
Denmark,DNK,D4,36.95,37.0,37,False
Ecuador,ECU,D1,28.47,31.0,31,True
Ecuador,ECU,D2,61.87,62.0,62,False
Ecuador,ECU,D3,54.93,55.0,55,False
Ecuador,ECU,D4,50.74,51.0,51,False
Egypt,EGY,D1,30.25,25.0,25,True
Egypt,EGY,D2,33.34,30.0,24,True
Egypt,EGY,D3,61.42,62.0,48,True
Egypt,EGY,D4,39.45,22.0,17,True
Spain,ESP,D1,57.05,59.0,59,True
Spain,ESP,D2,71.39,71.0,71,False
Spain,ESP,D3,67.6,81.0,81,True
Spain,ESP,D4,44.1,44.0,44,False
Ethiopia,ETH,D1,23.74,26.0,26,True
Ethiopia,ETH,D2,31.87,32.0,32,False
Ethiopia,ETH,D3,55.22,53.0,53,True
Ethiopia,ETH,D4,50.5,51.0,51,True
Finland,FIN,D1,72.1,81.0,81,True
Finland,FIN,D2,42.03,59.0,59,True
Finland,FIN,D3,74.31,74.0,74,False
Finland,FIN,D4,36.54,37.0,37,False
France,FRA,D1,73.04,73.0,73,False
France,FRA,D2,56.19,56.0,56,False
France,FRA,D3,79.8,80.0,80,False
France,FRA,D4,39.93,40.0,40,False
United Kingdom,GBR,D1,88.07,88.0,88,False
United Kingdom,GBR,D2,49.26,66.0,66,True
United Kingdom,GBR,D3,50.12,39.0,39,True
United Kingdom,GBR,D4,68.18,68.0,68,False
Greece,GRC,D1,46.89,56.0,56,True
Greece,GRC,D2,65.19,58.0,58,True
Greece,GRC,D3,72.88,82.0,82,True
Greece,GRC,D4,67.53,82.0,82,True
Guatemala,GTM,D1,28.1,28.0,40,False
Guatemala,GTM,D2,55.39,62.0,62,True
Guatemala,GTM,D3,64.8,65.0,65,False
Guatemala,GTM,D4,46.03,46.0,46,False
Hong Kong,HKG,D1,39.85,48.0,48,True
Hong Kong,HKG,D2,27.74,28.0,28,False
Hong Kong,HKG,D3,45.9,30.0,30,True
Hong Kong,HKG,D4,70.56,67.0,67,True
Hungary,HUN,D1,54.98,63.0,63,True
Hungary,HUN,D2,40.97,40.0,47,True
Hungary,HUN,D3,71.98,72.0,72,False
Hungary,HUN,D4,64.18,64.0,64,False
Indonesia,IDN,D1,24.73,25.0,32,False
Indonesia,IDN,D2,27.29,25.0,25,True
Indonesia,IDN,D3,45.41,38.0,35,True
Indonesia,IDN,D4,38.69,40.0,40,True
India,IND,D1,35.19,35.0,35,False
India,IND,D2,33.77,24.0,24,True
India,IND,D3,38.69,25.0,25,True
India,IND,D4,70.72,83.0,83,True
Ireland,IRL,D1,60.08,74.0,74,True
Ireland,IRL,D2,61.4,65.0,65,True
Ireland,IRL,D3,39.34,39.0,39,False
Ireland,IRL,D4,62.94,63.0,63,False
Iran,IRN,D1,32.76,33.0,33,False
Iran,IRN,D2,32.42,33.0,33,True
Iran,IRN,D3,38.03,21.0,21,True
Iran,IRN,D4,48.06,34.0,34,True
Israel,ISR,D1,56.65,72.0,72,True
Israel,ISR,D2,72.86,73.0,73,False
Israel,ISR,D3,50.43,44.0,44,True
Israel,ISR,D4,55.0,57.0,55,True
Italy,ITA,D1,72.11,71.0,71,True
Italy,ITA,D2,70.81,71.0,71,False
Italy,ITA,D3,65.25,77.0,77,True
Italy,ITA,D4,63.31,63.0,63,False
Jordan,JOR,D1,30.36,31.0,31,True
Jordan,JOR,D2,35.38,35.0,35,False
Jordan,JOR,D3,48.65,31.0,31,True
Jordan,JOR,D4,51.23,51.0,51,False
Japan,JPN,D1,47.9,46.0,64,True
Japan,JPN,D2,28.09,28.0,30,False
Japan,JPN,D3,76.34,76.0,66,False
Japan,JPN,D4,82.05,82.0,97,False
Pakistan,PAK,D1,23.28,31.0,31,True
Pakistan,PAK,D2,33.69,34.0,34,False
Pakistan,PAK,D3,65.71,58.0,58,True
Pakistan,PAK,D4,53.32,53.0,53,False
Peru,PER,D1,26.38,38.0,38,True
Peru,PER,D2,56.45,65.0,65,True
Peru,PER,D3,61.07,61.0,61,False
Peru,PER,D4,43.14,43.0,43,False
Romania,ROU,D1,47.17,47.0,47,False
Romania,ROU,D2,42.25,42.0,42,False
Romania,ROU,D3,64.78,65.0,65,False
Romania,ROU,D4,56.7,57.0,57,False
Russia,RUS,D1,40.66,41.0,49,False
Russia,RUS,D2,37.98,38.0,38,False
Russia,RUS,D3,81.71,81.0,81,True
Russia,RUS,D4,48.14,52.0,52,True
Singapore,SGP,D1,31.63,42.0,42,True
Singapore,SGP,D2,27.53,28.0,28,False
Singapore,SGP,D3,40.4,21.0,21,True
Singapore,SGP,D4,67.85,62.0,62,True
Mexico,MEX,D1,34.56,35.0,44,False
Mexico,MEX,D2,72.26,72.0,72,False
Mexico,MEX,D3,70.05,71.0,71,True
Mexico,MEX,D4,55.23,55.0,55,False
Namibia,NAM,D1,39.42,39.0,39,False
Namibia,NAM,D2,42.32,42.0,42,False
Namibia,NAM,D3,51.16,39.0,39,True
Namibia,NAM,D4,52.32,52.0,52,False
Nigeria,NGA,D1,32.88,25.0,25,True
Nigeria,NGA,D2,65.28,65.0,65,False
Nigeria,NGA,D3,42.91,35.0,35,True
Nigeria,NGA,D4,61.07,55.0,55,True
Netherlands,NLD,D1,87.91,92.0,92,True
Netherlands,NLD,D2,63.09,66.0,66,True
Netherlands,NLD,D3,64.26,61.0,61,True
Netherlands,NLD,D4,30.28,30.0,30,False
New Zealand,NZL,D1,79.4,82.0,82,True
New Zealand,NZL,D2,61.44,64.0,64,True
New Zealand,NZL,D3,44.49,44.0,44,False
New Zealand,NZL,D4,50.45,48.0,48,True
Philippines,PHL,D1,29.04,32.0,36,True
Philippines,PHL,D2,43.45,62.0,46,True
Philippines,PHL,D3,35.78,31.0,31,True
Philippines,PHL,D4,52.26,48.0,47,True
Portugal,PRT,D1,41.6,57.0,57,True
Portugal,PRT,D2,63.44,66.0,66,True
Portugal,PRT,D3,75.07,75.0,75,False
Portugal,PRT,D4,45.73,56.0,56,True
Serbia,SRB,D1,38.77,38.0,52,True
Serbia,SRB,D2,53.39,47.0,47,True
Serbia,SRB,D3,69.65,72.0,72,True
Serbia,SRB,D4,52.98,51.0,51,True
Slovakia,SVK,D1,46.01,46.0,50,False
Slovakia,SVK,D2,37.71,38.0,38,False
Slovakia,SVK,D3,68.12,68.0,68,False
Slovakia,SVK,D4,64.35,64.0,64,False
Sweden,SWE,D1,86.84,91.0,91,True
Sweden,SWE,D2,50.26,67.0,67,True
Sweden,SWE,D3,56.56,57.0,57,False
Sweden,SWE,D4,24.97,25.0,25,False
Thailand,THA,D1,30.99,31.0,38,False
Thailand,THA,D2,32.8,33.0,36,False
Thailand,THA,D3,54.39,54.0,46,False
Thailand,THA,D4,30.67,29.0,29,True
Taiwan,TWN,D1,37.97,41.0,41,True
Taiwan,TWN,D2,29.41,29.0,29,False
Taiwan,TWN,D3,65.96,66.0,66,False
Taiwan,TWN,D4,60.04,60.0,60,False
Ukraine,UKR,D1,39.65,40.0,40,False
Ukraine,UKR,D2,47.86,48.0,48,False
Ukraine,UKR,D3,72.96,71.0,71,True
Ukraine,UKR,D4,44.43,44.0,44,False
United States,USA,D1,88.19,86.0,86,True
United States,USA,D2,70.74,71.0,71,False
United States,USA,D3,32.64,22.0,22,True
United States,USA,D4,70.57,61.0,61,True
Venezuela,VEN,D1,31.67,32.0,46,False
Venezuela,VEN,D2,80.3,88.0,88,True
Venezuela,VEN,D3,51.34,64.0,64,True
Venezuela,VEN,D4,60.78,61.0,68,False
South Africa,ZAF,D1,51.14,52.0,52,True
South Africa,ZAF,D2,53.79,48.0,48,True
South Africa,ZAF,D3,32.54,32.0,32,True
South Africa,ZAF,D4,48.78,40.0,40,True
Zimbabwe,ZWE,D1,39.36,39.0,39,False
Zimbabwe,ZWE,D2,40.82,41.0,41,False
Zimbabwe,ZWE,D3,31.51,32.0,32,False
Zimbabwe,ZWE,D4,67.19,67.0,67,False
Angola,AGO,D1,28.52,29.0,29,False
Angola,AGO,D2,55.31,55.0,55,False
Angola,AGO,D3,53.31,53.0,53,False
Angola,AGO,D4,36.11,36.0,36,False
Albania,ALB,D1,40.44,40.0,40,False
Albania,ALB,D2,44.39,32.0,32,True
Albania,ALB,D3,55.33,55.0,55,False
Albania,ALB,D4,64.38,64.0,64,False
United Arab Emirates,ARE,D1,29.47,29.0,29,False
United Arab Emirates,ARE,D2,37.78,38.0,38,False
United Arab Emirates,ARE,D3,70.27,70.0,70,False
United Arab Emirates,ARE,D4,63.02,63.0,63,False
Armenia,ARM,D1,35.64,36.0,36,False
Armenia,ARM,D2,38.49,38.0,38,False
Armenia,ARM,D3,62.56,63.0,63,False
Armenia,ARM,D4,58.56,59.0,59,False
Belgium,BEL,D1,70.4,70.0,70,False
Belgium,BEL,D2,48.62,50.0,50,True
Belgium,BEL,D3,80.1,80.0,80,False
Belgium,BEL,D4,56.4,56.0,56,False
Bangladesh,BGD,D1,24.77,25.0,25,False
Bangladesh,BGD,D2,25.08,25.0,25,False
Bangladesh,BGD,D3,50.35,50.0,50,False
Bangladesh,BGD,D4,59.75,60.0,60,False
Bulgaria,BGR,D1,42.82,43.0,43,False
Bulgaria,BGR,D2,34.21,34.0,34,False
Bulgaria,BGR,D3,68.91,69.0,69,False
Bulgaria,BGR,D4,50.14,50.0,50,False
Cameroon,CMR,D1,24.65,25.0,25,False
Cameroon,CMR,D2,44.63,48.0,48,True
Cameroon,CMR,D3,45.78,46.0,46,False
Cameroon,CMR,D4,45.63,38.0,38,True
Cyprus,CYP,D1,39.33,39.0,39,False
Cyprus,CYP,D2,55.06,55.0,55,False
Cyprus,CYP,D3,61.0,61.0,61,False
Cyprus,CYP,D4,51.54,52.0,52,False
Estonia,EST,D1,64.61,65.0,65,False
Estonia,EST,D2,30.19,30.0,30,False
Estonia,EST,D3,64.42,64.0,64,False
Estonia,EST,D4,46.69,47.0,47,False
Ghana,GHA,D1,21.3,21.0,21,False
Ghana,GHA,D2,53.19,53.0,53,False
Ghana,GHA,D3,34.85,35.0,35,False
Ghana,GHA,D4,38.04,38.0,38,False
Croatia,HRV,D1,51.14,51.0,51,False
Croatia,HRV,D2,38.92,39.0,39,False
Croatia,HRV,D3,58.8,59.0,59,False
Croatia,HRV,D4,49.37,49.0,49,False
Iraq,IRQ,D1,25.0,27.0,27,True
Iraq,IRQ,D2,42.96,43.0,43,False
Iraq,IRQ,D3,57.11,57.0,57,False
Iraq,IRQ,D4,52.83,53.0,53,False
Iceland,ISL,D1,78.51,79.0,79,False
Iceland,ISL,D2,66.48,66.0,66,False
Iceland,ISL,D3,38.06,38.0,38,False
Iceland,ISL,D4,41.85,42.0,42,False
Jamaica,JAM,D1,46.66,47.0,47,False
Jamaica,JAM,D2,62.67,63.0,63,False
Jamaica,JAM,D3,28.82,29.0,29,False
Jamaica,JAM,D4,59.94,60.0,60,False
Kyrgyzstan,KGZ,D1,35.71,30.0,30,True
Kyrgyzstan,KGZ,D2,45.43,45.0,45,False
Kyrgyzstan,KGZ,D3,45.09,52.0,52,True
Kyrgyzstan,KGZ,D4,49.39,40.0,40,True
Kuwait,KWT,D1,26.34,28.0,28,True
Kuwait,KWT,D2,51.54,50.0,50,True
Kuwait,KWT,D3,59.63,60.0,60,False
Kuwait,KWT,D4,47.48,47.0,47,False
Lebanon,LBN,D1,33.86,34.0,34,False
Lebanon,LBN,D2,54.21,54.0,51,False
Lebanon,LBN,D3,34.09,34.0,34,False
Lebanon,LBN,D4,59.27,59.0,59,False
Libya,LBY,D1,27.3,27.0,27,False
Libya,LBY,D2,42.66,43.0,43,False
Libya,LBY,D3,47.49,47.0,47,False
Libya,LBY,D4,52.14,52.0,52,False
Srilanka,LKA,D1,30.65,31.0,31,False
Srilanka,LKA,D2,38.0,38.0,38,False
Srilanka,LKA,D3,51.01,51.0,51,False
Srilanka,LKA,D4,36.3,36.0,36,False
Lithuania,LTU,D1,60.33,60.0,60,False
Lithuania,LTU,D2,33.64,34.0,34,False
Lithuania,LTU,D3,66.2,66.0,66,False
Lithuania,LTU,D4,48.13,48.0,48,False
Latvia,LVA,D1,64.5,64.0,64,True
Latvia,LVA,D2,27.81,28.0,28,False
Latvia,LVA,D3,68.92,69.0,69,False
Latvia,LVA,D4,31.17,30.0,30,True
Mozambique,MOZ,D1,24.71,25.0,25,False
Mozambique,MOZ,D2,43.86,44.0,44,False
Mozambique,MOZ,D3,34.31,34.0,34,False
Mozambique,MOZ,D4,33.05,33.0,33,False
Nicaragua,NIC,D1,28.07,30.0,30,True
Nicaragua,NIC,D2,62.53,63.0,63,False
Nicaragua,NIC,D3,51.18,51.0,51,False
Nicaragua,NIC,D4,39.33,39.0,39,False
Norway,NOR,D1,80.53,81.0,81,False
Norway,NOR,D2,49.1,53.0,53,True
Norway,NOR,D3,59.97,60.0,60,False
Norway,NOR,D4,22.45,22.0,22,False
Nepal,NPL,D1,28.99,30.0,30,True
Nepal,NPL,D2,35.01,35.0,35,False
Nepal,NPL,D3,47.38,47.0,47,False
Nepal,NPL,D4,43.7,44.0,44,False
Panama,PAN,D1,24.07,26.0,26,True
Panama,PAN,D2,59.89,60.0,60,False
Panama,PAN,D3,54.68,55.0,55,False
Panama,PAN,D4,43.56,44.0,44,False
Puerto Rico,PRI,D1,35.38,42.0,42,True
Puerto Rico,PRI,D2,77.72,78.0,78,False
Puerto Rico,PRI,D3,33.78,34.0,34,False
Puerto Rico,PRI,D4,54.27,54.0,54,False
Saudi Arabia,SAU,D1,28.33,28.0,28,False
Saudi Arabia,SAU,D2,35.73,36.0,36,False
Saudi Arabia,SAU,D3,75.6,74.0,74,True
Saudi Arabia,SAU,D4,57.32,57.0,57,False
Senegal,SEN,D1,24.95,25.0,25,False
Senegal,SEN,D2,55.0,55.0,55,False
Senegal,SEN,D3,38.31,38.0,38,False
Senegal,SEN,D4,35.66,36.0,36,False
El Salvador,SLV,D1,31.45,33.0,33,True
El Salvador,SLV,D2,69.71,70.0,70,False
El Salvador,SLV,D3,69.34,69.0,69,False
El Salvador,SLV,D4,46.56,47.0,47,False
Suriname,SUR,D1,34.28,36.0,36,True
Suriname,SUR,D2,62.35,62.0,62,False
Suriname,SUR,D3,63.79,64.0,64,False
Suriname,SUR,D4,36.01,36.0,36,False
Slovenia,SVN,D1,50.8,53.0,53,True
Slovenia,SVN,D2,44.32,44.0,44,False
Slovenia,SVN,D3,79.6,80.0,80,False
Slovenia,SVN,D4,36.43,36.0,36,False
Trinidad And Tobago,TTO,D1,36.25,36.0,36,False
Trinidad And Tobago,TTO,D2,68.78,67.0,67,True
Trinidad And Tobago,TTO,D3,43.44,43.0,43,False
Trinidad And Tobago,TTO,D4,64.31,64.0,64,False
Tunisia,TUN,D1,27.42,27.0,27,False
Tunisia,TUN,D2,40.87,41.0,41,False
Tunisia,TUN,D3,57.98,58.0,58,False
Tunisia,TUN,D4,46.19,46.0,46,False
Uganda,UGA,D1,24.81,25.0,25,False
Uganda,UGA,D2,40.79,41.0,41,False
Uganda,UGA,D3,42.08,42.0,42,False
Uganda,UGA,D4,55.23,55.0,55,False
Uruguay,URY,D1,50.65,51.0,51,False
Uruguay,URY,D2,59.69,60.0,60,False
Uruguay,URY,D3,65.31,65.0,65,False
Uruguay,URY,D4,38.13,38.0,38,False
Uzbekistan,UZB,D1,24.39,24.0,29,False
Uzbekistan,UZB,D2,32.18,32.0,32,False
Uzbekistan,UZB,D3,63.13,63.0,63,False
Uzbekistan,UZB,D4,49.26,49.0,49,False
Yemen,YEM,D1,24.18,24.0,24,False
Yemen,YEM,D2,35.54,36.0,36,False
Yemen,YEM,D3,52.24,52.0,52,False
Yemen,YEM,D4,32.63,33.0,33,False
Afghanistan,AFG,D1,23.82,20.0,30,True
Afghanistan,AFG,D2,38.01,38.0,38,False
Afghanistan,AFG,D3,57.01,62.0,62,True
Afghanistan,AFG,D4,51.18,35.0,35,True
Andorra,AND,D1,69.71,70.0,70,False
Andorra,AND,D2,58.58,59.0,59,False
Andorra,AND,D3,58.84,59.0,59,False
Andorra,AND,D4,54.52,55.0,55,False
Azerbaijan,AZE,D1,31.67,32.0,32,False
Azerbaijan,AZE,D2,41.08,41.0,41,False
Azerbaijan,AZE,D3,63.66,64.0,64,False
Azerbaijan,AZE,D4,45.38,45.0,45,False
Burundi,BDI,D1,26.55,27.0,27,False
Burundi,BDI,D2,32.47,32.0,32,False
Burundi,BDI,D3,48.35,48.0,48,False
Burundi,BDI,D4,35.38,35.0,35,False
Benin,BEN,D1,29.16,29.0,29,False
Benin,BEN,D2,54.11,54.0,54,False
Benin,BEN,D3,48.61,49.0,49,False
Benin,BEN,D4,40.69,41.0,41,False
Bahamas,BHS,D1,36.87,37.0,37,False
Bahamas,BHS,D2,62.07,62.0,62,False
Bahamas,BHS,D3,50.07,50.0,50,False
Bahamas,BHS,D4,48.73,49.0,49,False
Belarus,BLR,D1,46.63,47.0,47,False
Belarus,BLR,D2,31.05,31.0,31,False
Belarus,BLR,D3,75.97,76.0,76,False
Belarus,BLR,D4,38.58,39.0,39,False
Belize,BLZ,D1,35.77,36.0,36,False
Belize,BLZ,D2,62.13,62.0,62,False
Belize,BLZ,D3,46.05,46.0,46,False
Belize,BLZ,D4,41.39,41.0,41,False
Brunei,BRN,D1,30.83,32.0,32,True
Brunei,BRN,D2,32.31,32.0,32,False
Brunei,BRN,D3,68.42,68.0,68,False
Brunei,BRN,D4,39.67,40.0,40,False
Botswana,BWA,D1,31.66,32.0,32,False
Botswana,BWA,D2,45.05,45.0,45,False
Botswana,BWA,D3,61.6,62.0,62,False
Botswana,BWA,D4,39.07,39.0,39,False
Central African Republic,CAF,D1,29.51,30.0,30,False
Central African Republic,CAF,D2,45.46,45.0,45,False
Central African Republic,CAF,D3,34.33,34.0,34,False
Central African Republic,CAF,D4,40.64,41.0,41,False
C̫te d'Ivoire,CIV,D1,31.92,35.0,35,True
C̫te d'Ivoire,CIV,D2,59.19,59.0,59,False
C̫te d'Ivoire,CIV,D3,42.08,42.0,42,False
C̫te d'Ivoire,CIV,D4,48.71,49.0,49,False
Democratic Republic of the Congo,COD,D1,28.41,31.0,31,True
Democratic Republic of the Congo,COD,D2,48.25,48.0,48,False
Democratic Republic of the Congo,COD,D3,42.77,43.0,43,False
Democratic Republic of the Congo,COD,D4,48.3,48.0,48,False
Cape Verde,CPV,D1,31.73,32.0,32,False
Cape Verde,CPV,D2,63.63,64.0,64,False
Cape Verde,CPV,D3,39.48,39.0,39,False
Cape Verde,CPV,D4,29.23,29.0,29,False
Cuba,CUB,D1,29.01,29.0,29,False
Cuba,CUB,D2,55.25,55.0,55,False
Cuba,CUB,D3,57.51,58.0,58,False
Cuba,CUB,D4,41.92,42.0,42,False
Djibouti,DJI,D1,24.41,27.0,27,True
Djibouti,DJI,D2,39.14,39.0,39,False
Djibouti,DJI,D3,56.89,57.0,57,False
Djibouti,DJI,D4,37.07,37.0,37,False
Algeria,DZA,D1,28.18,29.0,29,True
Algeria,DZA,D2,37.39,37.0,37,False
Algeria,DZA,D3,59.21,59.0,59,False
Algeria,DZA,D4,43.57,44.0,44,False
Eritrea,ERI,D1,35.98,32.0,32,True
Eritrea,ERI,D2,39.96,40.0,40,False
Eritrea,ERI,D3,48.06,45.0,45,True
Eritrea,ERI,D4,42.58,33.0,33,True
Gabon,GAB,D1,32.3,32.0,32,False
Gabon,GAB,D2,43.32,43.0,43,False
Gabon,GAB,D3,44.58,45.0,45,False
Gabon,GAB,D4,34.97,35.0,35,False
Guinea,GIN,D1,29.15,30.0,30,True
Guinea,GIN,D2,48.49,48.0,48,False
Guinea,GIN,D3,51.77,52.0,52,False
Guinea,GIN,D4,37.21,37.0,37,False
Gambia,GMB,D1,30.3,30.0,30,False
Gambia,GMB,D2,54.02,54.0,54,False
Gambia,GMB,D3,46.48,46.0,46,False
Gambia,GMB,D4,35.84,36.0,36,False
Guinea-Bissau,GNB,D1,36.38,36.0,36,False
