country,iso3,dimension,framework_baseline,framework_lower,framework_upper,specialist_recommendation,council_consensus,integrator_recommendation,llm_recommendation,final,clamp_adjustment,range_utilization
Bosniaherz,BIH,D4,43.06889938,21.78,64.36,44.333,38.27,41.84,42.0,42,0.16,47
Bhutan,BTN,D1,42.88880596,28.6,57.18,57.5,33.75,49.48,29.0,29,-20.48,1
Bhutan,BTN,D2,37.82134008,19.0,56.64,29.0,38.0,33.47,33.0,33,-0.47,37
Bhutan,BTN,D3,33.98901137,11.01,56.97,54.333,34.0,46.67,47.0,47,0.33,78
Bhutan,BTN,D4,38.24659651,11.19,65.3,32.333,36.67,34.5,28.0,28,-6.5,31
Dominican Republic,DOM,D1,49.3615089,33.59,65.13,30.0,39.0,35.29,35.0,35,-0.29,4
Dominican Republic,DOM,D2,50.34168819,33.02,67.66,72.0,61.0,65.43,65.0,65,-0.43,92
Dominican Republic,DOM,D3,43.25102565,20.17,66.33,38.5,39.75,39.54,40.0,40,0.46,43
Dominican Republic,DOM,D4,48.44387672,25.48,71.41,55.0,44.75,51.01,51.0,51,-0.01,56
Fiji,FJI,D1,36.94546967,28.06,45.83,24.667,34.0,28.44,29.0,29,0.56,5
Fiji,FJI,D2,39.05316695,17.79,60.31,37.667,39.0,38.31,38.0,38,-0.31,48
Fiji,FJI,D3,36.03530583,23.37,48.7,55.0,36.0,47.66,48.0,48,0.34,97
Fiji,FJI,D4,35.47816497,20.18,50.78,40.0,37.93,38.95,39.0,39,0.05,62
Georgia,GEO,D1,42.04800716,34.16,49.94,50.667,39.73,46.4,38.0,38,-8.4,24
Georgia,GEO,D2,38.49280378,24.83,52.16,54.5,38.0,48.08,52.0,52,3.92,99
Georgia,GEO,D3,49.9200071,30.0,69.84,41.0,55.0,46.22,55.0,55,8.78,63
Georgia,GEO,D4,39.7762051,16.38,63.17,47.5,41.93,44.59,42.0,42,-2.59,55
Honduras,HND,D1,36.42744129,23.2,49.66,20.667,27.0,24.4,24.0,24,-0.4,3
Honduras,HND,D2,39.86892278,11.63,68.11,59.0,55.3,55.1,55.0,55,-0.1,77
Honduras,HND,D3,43.44718834,21.08,65.82,43.333,44.25,43.71,44.0,44,0.29,51
Honduras,HND,D4,44.45585825,11.23,77.68,35.667,38.2,37.68,38.0,38,0.32,40
Kazakhstan,KAZ,D1,53.12306169,45.05,61.19,42.667,48.0,45.01,46.0,46,0.99,6
Kazakhstan,KAZ,D2,43.84542405,30.69,57.0,32.5,40.0,36.82,37.0,37,0.18,24
Kazakhstan,KAZ,D3,49.10746371,22.92,75.29,61.0,60.77,59.62,60.0,60,0.38,71
Kazakhstan,KAZ,D4,42.69710415,14.73,70.66,55.0,53.5,53.11,53.0,53,-0.11,68
Kenya,KEN,D1,39.78425247,32.83,46.74,21.5,36.5,28.22,33.0,33,4.78,1
Kenya,KEN,D2,47.45587806,32.02,62.89,36.0,41.64,39.53,40.0,40,0.47,26
Kenya,KEN,D3,41.093012709999996,23.91,58.27,52.333,41.14,46.86,47.0,47,0.14,67
Kenya,KEN,D4,44.98811998,25.29,64.69,64.333,47.0,56.11,56.0,56,-0.11,78
Luxembourg,LUX,D1,66.26896025,51.58,80.95,49.333,68.5,57.11,60.0,60,2.89,29
Luxembourg,LUX,D2,58.21402828,36.34,80.09,36.5,59.64,47.45,47.0,47,-0.45,24
Luxembourg,LUX,D3,56.27134988,37.66,74.88,70.0,61.2,64.98,65.0,65,0.02,73
Luxembourg,LUX,D4,58.30771685,29.45,87.17,56.0,60.0,57.69,58.0,58,0.31,49
Malawi,MWI,D1,38.51099272,28.58,48.44,28.667,30.0,30.12,30.0,30,-0.12,7
Malawi,MWI,D2,43.10290911,22.89,63.32,43.5,42.73,43.12,43.0,43,-0.12,50
Malawi,MWI,D3,36.85188303,19.4,54.31,50.667,39.75,44.56,45.0,45,0.44,73
Malawi,MWI,D4,49.42149859,22.62,76.22,46.5,40.5,44.68,45.0,45,0.32,42
Oman,OMN,D1,34.70546848,26.3,43.12,21.5,31.5,26.43,27.0,27,0.57,4
Oman,OMN,D2,42.33179258,17.5,67.17,28.5,29.64,30.45,30.0,30,-0.45,25
Oman,OMN,D3,36.93661431,15.38,58.5,71.333,51.57,59.43,58.0,58,-1.43,99
Oman,OMN,D4,39.7804016,15.38,64.18,50.0,31.2,41.89,42.0,42,0.11,55
Qatar,QAT,D1,35.61149672,25.54,45.68,21.667,33.0,26.63,27.0,27,0.37,7
Qatar,QAT,D2,35.91128663,20.37,51.45,24.333,36.0,29.72,30.0,30,0.28,31
Qatar,QAT,D3,40.21172003,15.07,65.35,79.0,57.75,67.83,65.0,65,-2.83,99
Qatar,QAT,D4,32.673531,3.0,62.48,64.0,48.5,54.69,55.0,55,0.31,87
Sierra Leone,SLE,D1,39.65523834,27.57,51.74,21.333,32.5,26.7,28.0,28,1.3,2
Sierra Leone,SLE,D2,47.40088331,26.87,67.93,62.0,44.55,53.15,53.0,53,-0.15,64
Sierra Leone,SLE,D3,40.0458159,22.1,58.0,41.5,39.0,40.56,41.0,41,0.44,53
Sierra Leone,SLE,D4,48.44947612,21.56,75.34,37.5,40.07,39.76,40.0,40,0.24,34
Tajikistan,TJK,D1,36.14460298,27.56,44.73,19.0,31.75,24.52,28.0,28,3.48,3
Tajikistan,TJK,D2,38.34502989,13.75,62.94,28.5,38.0,33.42,33.0,33,-0.42,39
Tajikistan,TJK,D3,36.79885555,8.84,64.76,46.0,45.25,45.12,45.0,45,-0.12,65
Tajikistan,TJK,D4,40.88072416,8.04,73.72,35.0,36.25,36.23,36.0,36,-0.23,43
Tanzania,TZA,D1,39.31018673,27.18,51.44,23.333,29.0,26.67,27.0,28,1.33,3
Tanzania,TZA,D2,40.47129652,23.68,57.26,51.5,40.0,47.35,47.0,47,-0.35,69
Tanzania,TZA,D3,39.36142209,16.69,62.03,33.5,43.25,38.08,38.0,38,-0.08,47
Tanzania,TZA,D4,40.93083056,11.55,70.31,27.5,39.5,33.42,33.0,33,-0.42,37
Vietnam,VNM,D1,41.09631923,32.88,49.32,37.667,36.0,37.46,37.0,37,-0.46,25
Vietnam,VNM,D2,31.63744853,15.44,47.83,30.667,32.0,31.29,31.0,31,-0.29,48
Vietnam,VNM,D3,32.23412952,13.79,50.68,41.667,36.86,39.09,39.0,39,-0.09,68
Vietnam,VNM,D4,36.31598098,13.79,58.85,54.0,40.64,47.3,47.0,47,-0.3,74
Zambia,ZMB,D1,43.83578784,32.07,55.6,22.667,38.53,30.19,33.0,33,2.81,4
Zambia,ZMB,D2,47.23477334,37.28,57.19,49.0,51.71,49.82,50.0,50,0.18,64
Zambia,ZMB,D3,39.84253315,24.45,55.24,41.0,43.67,42.02,42.0,42,-0.02,57
Zambia,ZMB,D4,50.86486125,30.92,70.81,42.5,43.33,43.85,44.0,44,0.15,33
Myanmar (formerly Burma),MMR,D1,34.41191947,27.01,41.81,39.333,30.5,35.74,36.0,36,0.26,61
Myanmar (formerly Burma),MMR,D2,41.0691613,23.69,58.45,28.5,38.0,33.38,33.0,33,-0.38,27
Myanmar (formerly Burma),MMR,D3,46.78444714,25.98,67.59,70.0,58.0,61.86,62.0,62,0.14,87
Myanmar (formerly Burma),MMR,D4,48.1823623,17.69,78.67,35.0,37.25,37.5,37.0,37,-0.5,32
Mongolia,MNG,D1,45.21990831,33.24,57.2,37.0,38.27,38.12,38.0,38,-0.12,20
Mongolia,MNG,D2,43.39610018,23.69,63.1,45.0,44.55,44.7,45.0,45,0.3,54
Mongolia,MNG,D3,52.28870286,27.71,76.87,60.0,47.73,54.94,55.0,55,0.06,56
Mongolia,MNG,D4,43.82909055,13.96,73.69,54.0,45.91,51.11,51.0,51,-0.11,62
Syria,SYR,D1,39.65183831,28.67,50.63,26.667,30.0,28.91,29.0,29,0.09,2
Syria,SYR,D2,48.04781064,26.94,69.16,58.5,48.0,53.08,53.0,53,-0.08,62
Syria,SYR,D3,42.41284726,19.67,65.15,60.0,54.75,56.07,56.0,56,-0.07,80
Syria,SYR,D4,42.31979509,25.9,58.74,49.0,39.71,44.97,45.0,45,0.03,58
Colombia,COL,D1,44.55730247,43.77,45.34,21.333,44.0,31.3,44.0,44,12.7,15
Colombia,COL,D2,91.33705857,87.51,95.16,68.0,88.29,77.41,88.0,88,10.59,6
Colombia,COL,D3,50.168759,48.76,51.57,59.0,50.25,50.0,50.0,50,0.0,44
Colombia,COL,D4,73.00460626,71.19,74.82,55.0,73.0,62.91,72.0,72,9.09,22
South Korea,KOR,D1,50.22728054,49.6,50.85,15.0,50.0,50.0,50.0,50,0.0,32
South Korea,KOR,D2,37.29822866,35.93,38.67,24.333,36.72,30.01,36.0,36,5.99,3
South Korea,KOR,D3,63.06139472,61.5,64.62,85.333,62.75,75.59,64.0,64,-11.59,80
South Korea,KOR,D4,77.55993036,75.48,79.64,54.333,77.25,62.71,76.0,76,13.29,12
Turkey,TUR,D1,43.13971682,42.28,44.0,28.0,43.0,34.75,35.0,43,8.25,42
Turkey,TUR,D2,51.87597281,50.65,53.11,47.0,51.67,50.0,50.0,50,0.0,0
Turkey,TUR,D3,66.55046169,64.82,68.29,72.0,67.0,69.94,70.0,68,-1.94,92
Turkey,TUR,D4,48.32897024,46.65,50.0,47.5,49.0,50.0,50.0,50,0.0,100
Argentina,ARG,D1,60.4458712,59.37,61.52,52.0,60.0,55.66,60.0,60,4.34,29
Argentina,ARG,D2,87.81989836,84.15,91.49,75.333,86.2,80.55,85.0,85,4.45,12
Argentina,ARG,D3,72.17184344,70.08,74.26,55.667,71.47,62.25,71.0,71,8.75,22
Argentina,ARG,D4,53.47178976,51.99,54.96,49.0,53.62,51.64,52.0,52,0.36,0
Australia,AUS,D1,84.18896651,81.23,87.15,89.333,84.25,87.25,87.0,87,-0.25,97
Australia,AUS,D2,77.37725219,74.53,80.23,64.0,77.0,69.94,75.0,75,5.06,8
Australia,AUS,D3,34.23020581,31.97,36.49,44.333,34.0,39.3,36.0,36,-3.3,89
Australia,AUS,D4,55.09001254,53.64,56.54,62.333,55.53,59.09,56.0,56,-3.09,81
Bolivia,BOL,D1,38.1953104,33.83,42.56,19.333,36.0,26.55,27.0,34,7.45,2
Bolivia,BOL,D2,60.81652298,49.23,72.4,53.5,57.27,55.9,56.0,56,0.1,29
Bolivia,BOL,D3,50.64495076,34.72,66.57,77.0,48.0,63.59,64.0,64,0.41,92
Bolivia,BOL,D4,30.3797649,12.54,48.22,39.5,34.11,36.61,37.0,37,0.39,69
Brazil,BRA,D1,53.50564403,52.82,54.19,29.0,53.28,40.43,40.0,53,12.57,13
Brazil,BRA,D2,68.89193604,66.68,71.11,75.0,68.67,72.02,75.0,71,-1.02,98
Brazil,BRA,D3,65.32250003,63.65,66.99,55.333,64.72,59.07,64.0,64,4.93,10
Brazil,BRA,D4,56.4712604,55.05,57.9,48.0,56.0,52.14,54.0,56,3.86,33
Canada,CAN,D1,88.93986792,85.58,92.3,82.0,89.0,84.9,86.0,86,1.1,6
Canada,CAN,D2,85.72909601,82.22,89.24,63.5,85.28,72.82,83.0,83,10.18,11
Canada,CAN,D3,42.36619808,40.63,44.1,53.0,41.72,47.67,44.0,44,-3.67,97
Canada,CAN,D4,60.40870197,59.0,61.82,53.5,60.0,56.78,59.0,59,2.22,0
Switzerland,CHE,D1,92.78300943,87.33,97.0,75.667,92.0,83.06,88.0,88,4.94,7
Switzerland,CHE,D2,67.4458703,60.44,74.45,32.0,66.64,49.2,55.0,61,11.8,4
Switzerland,CHE,D3,58.91579649,54.11,63.72,75.0,62.36,69.38,68.0,63,-6.38,93
Switzerland,CHE,D4,67.23566379,60.56,73.91,65.333,69.47,66.96,67.0,67,0.04,48
Chile,CHL,D1,55.68383281,50.9,60.46,28.667,53.0,39.89,51.0,51,11.11,1
Chile,CHL,D2,73.97454744,63.66,84.29,50.667,72.27,61.07,64.0,64,2.93,2
Chile,CHL,D3,73.18714259,64.99,81.38,73.333,70.27,72.19,72.0,72,-0.19,43
Chile,CHL,D4,33.02901613,19.59,46.46,42.333,32.89,37.87,38.0,38,0.13,69
China,CHN,D1,34.61022769,33.15,36.07,30.667,35.75,32.2,34.0,34,1.8,29
China,CHN,D2,4.225065892,3.0,8.45,31.0,7.47,21.3,8.0,8,-13.3,92
China,CHN,D3,14.15591559,9.61,18.7,65.0,17.44,45.95,18.0,18,-27.95,92
China,CHN,D4,99.40170032,96.38,97.0,69.0,97.0,79.8,97.0,97,17.2,100
Costa Rica,CRI,D1,51.70586086,44.81,58.6,17.333,46.41,30.78,45.0,45,14.22,1
Costa Rica,CRI,D2,58.64088968,46.45,70.83,58.333,61.14,59.3,59.0,59,-0.3,51
Costa Rica,CRI,D3,69.51171017,57.86,81.16,64.333,66.71,65.42,65.0,65,-0.42,31
Costa Rica,CRI,D4,46.78841046,34.96,58.62,23.667,42.92,32.89,35.0,35,2.11,0
Czech Republic,CZE,D1,68.53960916,66.85,70.23,61.0,68.25,63.64,67.0,67,3.36,4
Czech Republic,CZE,D2,4.225065892,3.0,8.45,36.667,4.0,21.78,8.0,8,-13.78,92
Czech Republic,CZE,D3,54.18072423,52.83,55.53,70.333,54.0,62.87,55.0,55,-7.87,80
Czech Republic,CZE,D4,5.973466232,3.0,15.36,51.667,13.12,32.5,15.0,15,-17.5,97
Germany,DEU,D1,95.62750794,91.81,97.0,75.0,93.25,82.79,83.0,92,9.21,4
Germany,DEU,D2,62.94805253,61.15,64.75,36.0,63.0,49.93,50.0,62,12.07,24
Germany,DEU,D3,79.81451177,77.16,82.47,85.667,80.0,83.22,82.0,82,-1.22,91
Germany,DEU,D4,79.41433395,77.22,81.61,71.0,78.53,74.67,75.0,78,3.33,18
Denmark,DNK,D1,93.89171093,88.22,97.0,76.5,93.75,84.42,89.0,89,4.58,9
Denmark,DNK,D2,71.07253064,62.9,79.24,42.667,71.0,54.84,63.0,63,8.16,1
Denmark,DNK,D3,41.72644127,36.46,46.99,48.0,41.56,45.79,46.0,46,0.21,91
Denmark,DNK,D4,35.10239012,29.25,40.96,39.333,33.29,36.95,37.0,37,0.05,66
Ecuador,ECU,D1,37.36832506,30.24,44.5,24.333,34.05,28.47,31.0,31,2.53,5
Ecuador,ECU,D2,69.51096908,55.05,83.97,54.0,71.53,61.87,62.0,62,0.13,24
Ecuador,ECU,D3,52.57759401,34.59,70.57,51.667,61.14,54.93,55.0,55,0.07,57
Ecuador,ECU,D4,61.56207343,42.62,80.51,43.333,56.73,50.74,51.0,51,0.26,22
Egypt,EGY,D1,23.15105675,20.37,25.93,33.333,24.74,30.25,25.0,25,-5.25,83
Egypt,EGY,D2,21.95824206,19.61,24.3,40.667,22.0,33.34,30.0,24,-9.34,94
Egypt,EGY,D3,47.43059226,45.94,48.92,74.0,47.31,61.42,62.0,48,-13.42,69
Egypt,EGY,D4,13.91784605,9.9,17.93,55.0,15.53,39.45,22.0,17,-22.45,88
Spain,ESP,D1,64.21804541,58.13,70.3,50.333,63.28,57.05,59.0,59,1.95,7
Spain,ESP,D2,72.7696677,64.02,81.52,69.0,73.74,71.39,71.0,71,-0.39,40
Spain,ESP,D3,84.41041935,80.11,88.71,57.5,84.0,67.6,81.0,81,13.4,10
Spain,ESP,D4,52.19727614,43.66,60.74,35.5,51.0,44.1,44.0,44,-0.1,2
Ethiopia,ETH,D1,29.77158899,25.42,34.12,20.667,27.5,23.74,26.0,26,2.26,7
Ethiopia,ETH,D2,32.28171262,11.69,52.87,33.0,30.29,31.87,32.0,32,0.13,49
Ethiopia,ETH,D3,41.69258105,29.89,53.49,66.667,43.72,55.22,53.0,53,-2.22,98
Ethiopia,ETH,D4,48.7007667,32.45,64.95,53.667,47.17,50.5,51.0,51,0.5,57
Finland,FIN,D1,86.94283915,80.02,93.87,63.0,87.0,72.1,81.0,81,8.9,7
Finland,FIN,D2,67.5049718,58.66,76.35,23.333,63.0,42.03,59.0,59,16.97,2
Finland,FIN,D3,68.43831571,61.41,75.47,77.0,71.38,74.31,74.0,74,-0.31,90
Finland,FIN,D4,30.36309177,21.6,39.13,41.0,31.0,36.54,37.0,37,0.46,88
France,FRA,D1,72.53620672,66.05,79.02,72.667,73.74,73.04,73.0,73,-0.04,54
France,FRA,D2,58.97562774,50.39,67.57,54.0,58.12,56.19,56.0,56,-0.19,33
France,FRA,D3,78.87867637,71.57,86.19,80.0,79.72,79.8,80.0,80,0.2,58
France,FRA,D4,40.49670256,31.56,49.43,40.5,39.06,39.93,40.0,40,0.07,47
United Kingdom,GBR,D1,89.01136751,85.65,92.38,87.333,89.0,88.07,88.0,88,-0.07,35
United Kingdom,GBR,D2,68.0903876,65.93,70.25,31.5,67.69,49.26,66.0,66,16.74,2
United Kingdom,GBR,D3,37.08611891,35.02,39.15,58.0,37.0,50.12,39.0,39,-11.12,96
United Kingdom,GBR,D4,68.69479212,67.08,70.31,67.0,69.47,68.18,68.0,68,-0.18,28
Greece,GRC,D1,56.25699674,55.44,57.07,42.333,56.0,46.89,56.0,56,9.11,34
Greece,GRC,D2,57.19068864,55.73,58.65,74.0,57.0,65.19,58.0,58,-7.19,78
Greece,GRC,D3,83.96585606,81.0,86.93,67.667,84.0,72.88,82.0,82,9.12,17
Greece,GRC,D4,84.39165959,81.87,86.92,54.333,82.35,67.53,82.0,82,14.47,3
Guatemala,GTM,D1,44.95874199,39.72,50.2,19.667,40.47,28.1,28.0,40,11.9,3
Guatemala,GTM,D2,75.88057358,61.89,89.88,40.667,72.53,55.39,62.0,62,6.61,0
Guatemala,GTM,D3,75.23180606,60.1,90.36,59.667,75.0,64.8,65.0,65,0.2,16
Guatemala,GTM,D4,54.17382728,37.68,70.67,38.333,53.83,46.03,46.0,46,-0.03,25
Hong Kong,HKG,D1,53.6769071,47.75,59.6,29.667,52.28,39.85,48.0,48,8.15,2
Hong Kong,HKG,D2,26.80029784,19.33,34.27,29.0,26.27,27.74,28.0,28,0.26,58
Hong Kong,HKG,D3,25.13663331,20.2,30.07,58.333,25.0,45.9,30.0,30,-15.9,99
Hong Kong,HKG,D4,60.31234988,53.62,67.01,76.0,63.79,70.56,67.0,67,-3.56,100
Hungary,HUN,D1,68.26811481,62.3,74.24,49.0,68.0,54.98,63.0,63,8.02,6
Hungary,HUN,D2,54.9177599,46.14,63.69,33.5,48.0,40.97,40.0,47,6.03,5
Hungary,HUN,D3,76.88071426,71.05,82.71,68.5,76.0,71.98,72.0,72,0.02,8
Hungary,HUN,D4,70.95077554,61.36,80.54,59.667,69.6,64.18,64.0,64,-0.18,14
Indonesia,IDN,D1,33.45472112,31.9,35.01,19.333,34.0,24.73,25.0,32,7.27,3
Indonesia,IDN,D2,23.08255536,20.82,25.35,30.667,23.0,27.29,25.0,25,-2.29,92
Indonesia,IDN,D3,33.11783579,30.77,35.46,54.333,33.0,45.41,38.0,35,-10.41,90
Indonesia,IDN,D4,41.93868017,39.93,43.95,35.0,42.53,38.69,40.0,40,1.31,2
India,IND,D1,35.95355532,34.59,37.31,34.0,36.74,35.19,35.0,35,-0.19,15
India,IND,D2,22.45687248,20.15,24.77,44.0,22.0,33.77,24.0,24,-9.77,83
India,IND,D3,22.65760561,19.5,25.82,50.667,23.0,38.69,25.0,25,-13.69,87
India,IND,D4,84.77808923,82.23,87.33,60.0,83.5,70.72,83.0,83,12.28,15
Ireland,IRL,D1,79.98904621,73.61,86.37,47.333,80.0,60.08,74.0,74,13.92,3
Ireland,IRL,D2,73.34223699,64.8,81.88,51.333,72.67,61.4,65.0,65,3.6,1
Ireland,IRL,D3,33.12060562,26.59,39.65,45.0,33.33,39.34,39.0,39,-0.34,95
Ireland,IRL,D4,63.23224936,55.93,70.53,61.5,64.87,62.94,63.0,63,0.06,48
Iran,IRN,D1,31.30903148,29.59,33.03,33.0,32.75,32.76,33.0,33,0.24,99
Iran,IRN,D2,34.40974162,32.89,35.93,31.0,34.0,32.42,33.0,33,0.58,4
Iran,IRN,D3,17.55658721,13.97,21.14,51.0,20.72,38.03,21.0,21,-17.03,98
Iran,IRN,D4,32.34966519,29.71,34.99,58.5,33.0,48.06,34.0,34,-14.06,81
Israel,ISR,D1,75.11618249,68.76,81.47,44.667,75.74,56.65,72.0,72,15.35,25
Israel,ISR,D2,73.33190379,61.78,84.88,72.667,73.0,72.86,73.0,73,0.14,49
Israel,ISR,D3,40.9446502,34.83,47.05,58.0,40.0,50.43,44.0,44,-6.43,75
Israel,ISR,D4,46.0373624,36.67,55.4,63.333,46.0,55.0,57.0,55,0.0,98
Italy,ITA,D1,65.59919949,59.27,71.92,77.0,65.28,72.11,71.0,71,-1.11,93
Italy,ITA,D2,66.65982967,56.2,77.12,72.333,69.74,70.81,71.0,71,0.19,71
Italy,ITA,D3,82.95801738,76.51,89.41,52.667,83.0,65.25,77.0,77,11.75,4
Italy,ITA,D4,72.08889222,62.37,81.81,57.333,72.0,63.31,63.0,63,-0.31,3
Jordan,JOR,D1,35.11965122,30.48,39.76,27.667,33.25,30.36,31.0,31,0.64,6
Jordan,JOR,D2,35.19947151,24.27,46.13,35.667,35.0,35.38,35.0,35,-0.38,49
Jordan,JOR,D3,22.05737513,12.99,31.13,69.333,22.0,48.65,31.0,31,-17.65,99
Jordan,JOR,D4,52.28021898,42.81,61.75,51.0,51.2,51.23,51.0,51,-0.23,43
Japan,JPN,D1,64.7557285,63.36,66.15,36.667,64.0,47.9,46.0,64,16.1,23
Japan,JPN,D2,31.06002772,29.34,32.78,26.0,31.0,28.09,28.0,30,1.91,19
Japan,JPN,D3,65.11827728,63.46,66.78,85.0,65.26,76.34,76.0,66,-10.34,77
Japan,JPN,D4,99.40612373,96.38,97.0,72.333,97.0,82.05,82.0,97,14.95,100
Pakistan,PAK,D1,34.99786661,30.73,39.27,17.333,31.0,23.28,31.0,31,7.72,3
Pakistan,PAK,D2,43.55092486,29.75,57.35,29.0,38.0,33.69,34.0,34,0.31,15
Pakistan,PAK,D3,48.36501969,38.47,58.26,73.5,58.0,65.71,58.0,58,-7.71,99
Pakistan,PAK,D4,53.62651628,40.92,66.33,53.5,53.0,53.32,53.0,53,-0.32,48
Peru,PER,D1,41.1003659,37.76,44.44,15.667,38.0,26.38,38.0,38,11.62,4
Peru,PER,D2,73.98737099,64.58,83.39,37.667,73.5,56.45,65.0,65,8.55,2
Peru,PER,D3,53.71907938,45.32,62.11,63.0,58.59,61.07,61.0,61,-0.07,93
Peru,PER,D4,49.73481114,39.25,60.22,40.0,44.36,43.14,43.0,43,-0.14,18
Romania,ROU,D1,50.57956182,46.87,54.29,46.0,49.0,47.17,47.0,47,-0.17,2
Romania,ROU,D2,37.4089006,25.91,48.91,53.5,31.84,42.25,42.0,42,-0.25,70
Romania,ROU,D3,73.96985225,63.99,83.95,60.0,74.0,64.78,65.0,65,0.22,5
Romania,ROU,D4,70.89380847,56.15,85.64,50.0,64.06,56.7,57.0,57,0.3,3
Russia,RUS,D1,49.36976053,48.74,50.0,32.333,49.0,40.66,41.0,49,8.34,21
Russia,RUS,D2,38.16919849,36.84,39.5,37.667,38.5,37.98,38.0,38,0.02,44
Russia,RUS,D3,78.5916795,76.03,81.15,84.333,78.0,81.71,81.0,81,-0.71,97
Russia,RUS,D4,53.07519831,51.58,54.57,44.333,52.44,48.14,52.0,52,3.86,14
Singapore,SGP,D1,47.71286189,41.37,54.06,22.667,43.0,31.63,42.0,42,10.37,5
Singapore,SGP,D2,34.13276517,27.78,40.49,24.0,30.5,27.53,28.0,28,0.47,2
Singapore,SGP,D3,16.5238949,11.37,21.68,53.5,14.27,40.4,21.0,21,-19.4,93
Singapore,SGP,D4,54.58531106,47.04,62.13,79.0,55.17,67.85,62.0,62,-5.85,99
Mexico,MEX,D1,44.3733378,43.58,45.17,27.333,44.0,34.56,35.0,44,9.44,26
Mexico,MEX,D2,74.10928715,71.51,76.71,71.0,73.67,72.26,72.0,72,-0.26,9
Mexico,MEX,D3,72.99777986,70.85,75.14,68.333,72.71,70.05,71.0,71,0.95,3
Mexico,MEX,D4,54.25268962,52.79,55.72,56.0,54.22,55.23,55.0,55,-0.23,75
Namibia,NAM,D1,39.33994135,34.05,44.63,39.667,39.0,39.42,39.0,39,-0.42,47
Namibia,NAM,D2,48.6846292,38.05,59.31,36.0,47.38,42.32,42.0,42,-0.32,19
Namibia,NAM,D3,32.78986191,25.87,39.71,68.667,34.25,51.16,39.0,39,-12.16,95
Namibia,NAM,D4,53.97085133,44.56,63.38,53.333,50.87,52.32,52.0,52,-0.32,40
Nigeria,NGA,D1,23.36132611,20.96,25.77,37.333,23.26,32.88,25.0,25,-7.88,84
Nigeria,NGA,D2,64.66744655,62.75,66.58,65.667,64.73,65.28,65.0,65,-0.28,59
Nigeria,NGA,D3,32.73087566,30.36,35.1,48.333,33.26,42.91,35.0,35,-7.91,98
Nigeria,NGA,D4,54.46650784,53.0,55.93,65.333,54.24,61.07,55.0,55,-6.07,68
Netherlands,NLD,D1,95.51617992,91.7,97.0,82.5,95.25,87.91,92.0,92,4.09,6
Netherlands,NLD,D2,68.1514977,65.99,70.31,59.0,67.71,63.09,66.0,66,2.91,0
Netherlands,NLD,D3,60.24389127,58.8,61.69,67.667,60.29,64.26,61.0,61,-3.26,76
Netherlands,NLD,D4,31.5834933,28.89,34.28,28.5,33.0,30.28,30.0,30,-0.28,21
